Sr. No.,Symbol,Company Name,"Market capitalization 
(Rs in Lakhs)",mcap_1000cr,rsi
160,INDIAMART,Indiamart Intermesh Limited,2349530.090776,23.4953,40.13210234369394
25,HDFCLIFE,HDFC Life Insurance Company Limited,14069811.891292,140.69811,43.61675498086237
65,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,6398659.910776,63.98659,45.39888592166771
114,PETRONET,Petronet LNG Limited,3369750.1976920003,33.6975,45.72594036484867
192,SANOFI,Sanofi India Limited,1815860.906901,18.1586,46.24274052336309
154,M&MFIN,Mahindra & Mahindra Financial Services Limited,2458086.77584,24.58086,46.60190410403256
167,BANKINDIA,Bank of India,2223392.492975,22.23392,47.28160956575641
48,SBICARD,SBI Cards and Payment Services Limited,8730427.54532,87.30427,47.525330509870635
92,NMDC,NMDC Limited,3966575.017975,39.66575,48.267422515337174
176,NAM-INDIA,Nippon Life India Asset Management Limited,2081577.082257,20.81577,48.286675308758525
41,DABUR,Dabur India Limited,9552934.011345,95.52934,48.48204858169658
151,NIACL,The New India Assurance Company Limited,2543688,25.43688,48.870978202658016
84,COLPAL,Colgate Palmolive (India) Limited,4241207.983779,42.41207,48.960324453812824
55,INDUSINDBK,IndusInd Bank Limited,7379379.6823215,73.79379,49.0162060979672
132,IRFC,Indian Railway Finance Corporation Limited,2992687.874,29.92687,49.57448000496902
68,HDFCAMC,HDFC Asset Management Company Limited,6215944.26789,62.15944,49.74823085067414
158,L&TFH,L&T Finance Holdings Limited,2366963.707284,23.66963,50.17470082277839
70,GAIL,GAIL (India) Limited,6111242.22843,61.11242,50.96762457277254
33,BAJAJ-AUTO,Bajaj Auto Limited,10621505.83612,106.21505,51.61579928460111
98,AUBANK,AU Small Finance Bank Limited,3831997.040443,38.31997,51.63809951256081
72,HEROMOTOCO,Hero MotoCorp Limited,5820796.402512,58.20796,51.71289864331532
43,BPCL,Bharat Petroleum Corporation Limited,9283317.117948001,92.83317,51.77821399690171
82,CADILAHC,Cadila Healthcare Limited,4513681.101355,45.13681,51.82635719751797
171,LICHSGFIN,LIC Housing Finance Limited,2160966.966,21.60966,52.02376013693361
77,BIOCON,Biocon Limited,4906800,49.068,52.16647244137373
184,AIAENG,AIA Engineering Limited,1936114.23499,19.36114,52.70511475217363
108,MRF,MRF Limited,3488740.9055135,34.8874,53.28773705895718
183,LAURUSLABS,Laurus Labs Limited,1942500.6337,19.425,53.30210517909952
64,ICICIGI,ICICI Lombard General Insurance Company Limited,6515141.801248001,65.15141,53.31802264205328
126,KANSAINER,Kansai Nerolac Paints Limited,3239176.97706,32.39176,53.41099229776112
107,GICRE,General Insurance Corporation of India,3498273.6,34.98273,53.46313784364823
131,PFC,Power Finance Corporation Limited,3003092.6016,30.03092,53.75361646679864
163,COROMANDEL,Coromandel International Limited,2272364.5581945,22.72364,53.87482000581756
177,PFIZER,Pfizer Limited,2070039.125268,20.70039,55.61520594730038
149,RECLTD,REC Limited,2590104.957,25.90104,55.923732834606525
170,SYNGENE,Syngene International Limited,2173800,21.738,55.96746818090782
204,EXIDEIND,Exide Industries Limited,1560600,15.606,56.45476492350241
128,IDFCFIRSTB,IDFC First Bank Limited,3161448.369235,31.61448,56.473731645201944
189,APLLTD,Alembic Pharmaceuticals Limited,1896735.8650379998,18.96735,56.660217008991374
47,BRITANNIA,Britannia Industries Limited,8731596.164148001,87.31596,56.8874348193512
32,SHREECEM,SHREE CEMENT LIMITED,10631336.721192,106.31336,56.902121274858985
5,HINDUNILVR,Hindustan Unilever Limited,57129664.343175,571.29664,56.970035031870516
16,AXISBANK,Axis Bank Limited,21365557.159193,213.65557,57.32316355296932
3,HDFCBANK,HDFC Bank Limited,82341585.923393,823.41585,58.3746836745197
76,AUROPHARMA,Aurobindo Pharma Limited,5163876.961117,51.63876,58.73191177202786
80,LUPIN,Lupin Limited,4629277.6803585,46.29277,59.18439746602012
138,SUNDARMFIN,Sundaram Finance Limited,2855869.16937,28.55869,60.58179504719397
52,DRREDDY,Dr. Reddy's Laboratories Limited,7510124.66404,75.10124,60.900843913045975
54,BERGEPAINT,Berger Paints (I) Limited,7430407.03305,74.30407,62.52047798256303
85,HONAUT,Honeywell Automation India Limited,4197941.8581155,41.97941,63.6831758765393
95,YESBANK,Yes Bank Limited,3908565.333036,39.08565,63.79291779753357
157,IPCALAB,IPCA Laboratories Limited,2414947.0250875,24.14947,64.45751058458961
209,NATCOPHARM,Natco Pharma Limited,1505289.9142875,15.05289,66.71578256356472
57,EICHERMOT,Eicher Motors Limited,7117530.7409190005,71.1753,68.74002245464425
