Sr No,Symbol,Company Name,"Market capitalization as on March 31, 2022
(Rs in Lakhs)",mcap_1000cr,rsi
245,AFFLE,Affle (India) Limited,1679029.98153,16.79029,37.88414210787456
46,LTI,Larsen & Toubro Infotech Limited,10788579.182424,107.88579,42.213454012241044
144,TTML,Tata Teleservices (Maharashtra) Limited,3258864.520909,32.58864,43.99387428258639
243,SFL,Sheela Foam Limited,1695105.012384,16.95105,44.06813912668729
64,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,7199466.259909,71.99466,44.312863763809816
196,THERMAX,Thermax Limited,2310500.23515,23.105,44.67366479923066
47,BAJAJ-AUTO,Bajaj Auto Limited,10570577.2406,105.70577,44.70828012091909
184,BATAINDIA,Bata India Limited,2520939.16956,25.20939,44.82405391756219
195,HATSUN,Hatsun Agro Product Limited,2310838.82256,23.10838,44.94467418981662
8,BAJFINANCE,Bajaj Finance Limited,43953859.601183504,439.53859,45.22181741310227
190,SYNGENE,Syngene International Limited,2395159.884,23.95159,45.429883832904714
221,WHIRLPOOL,Whirlpool of India Limited,1995503.578155,19.95503,45.603758076824455
211,TANLA,Tanla Platforms Limited,2070251.7261120002,20.70251,45.624778644083904
258,CDSL,Central Depository Services (India) Limited,1546965.75,15.46965,45.944945247822716
253,GILLETTE,Gillette India Limited,1580268.9762404999,15.80268,46.08244965116248
61,TATAPOWER,Tata Power Company Limited,7625677.8289155,76.25677,46.193093403572746
225,EMAMILTD,Emami Limited,1987643.18841,19.87643,46.25555360424168
54,SBICARD,SBI Cards and Payment Services Limited,8032763.742063001,80.32763,46.37747041721082
208,CLEAN,Clean Science and Technology Limited,2116306.55904,21.16306,46.98484430324459
170,TRIDENT,Trident Limited,2718692.349945,27.18692,47.27113342950203
140,OBEROIRLTY,Oberoi Realty Limited,3417315.6244445,34.17315,47.33289999513806
151,OFSS,Oracle Financial Services Software Limited,3094471.6876,30.94471,47.579975233454945
218,VINATIORGA,Vinati Organics Limited,2007539.0006,20.07539,48.04944710810173
185,KANSAINER,Kansai Nerolac Paints Limited,2520796.9903,25.20796,48.58663262137721
93,PEL,Piramal Enterprises Limited,5219336.4553,52.19336,48.62079455458276
78,MPHASIS,MphasiS Limited,6342322.542746,63.42322,48.74286765567309
224,PFIZER,Pfizer Limited,1989180.008958,19.8918,48.75308748772226
255,AJANTPHARM,Ajanta Pharma Limited,1566946.455275,15.66946,48.76842943651411
1,RELIANCE,Reliance Industries Limited,178237575.626805,1782.37575,48.89572280356054
155,ATUL,Atul Limited,3045262.0177005,30.45262,49.16834882503249
207,KPRMILL,K.P.R. Mill Limited,2141883.275,21.41883,49.42191311071209
217,IEX,Indian Energy Exchange Limited,2019310.440651,20.1931,49.7973617226264
